total jobs: 8274
remaining: 8074
50/8074 | 8/min | ETA 1060.8h
100/8074 | 9/min | ETA 874.3h
150/8074 | 10/min | ETA 773.7h
200/8074 | 10/min | ETA 768.2h
250/8074 | 10/min | ETA 808.9h
300/8074 | 10/min | ETA 778.6h
350/8074 | 10/min | ETA 795.1h
400/8074 | 9/min | ETA 867.2h
450/8074 | 9/min | ETA 875.4h
500/8074 | 9/min | ETA 873.7h
550/8074 | 9/min | ETA 878.8h
600/8074 | 8/min | ETA 897.4h
650/8074 | 8/min | ETA 885.0h
700/8074 | 8/min | ETA 935.6h
750/8074 | 8/min | ETA 936.7h
800/8074 | 8/min | ETA 961.2h
850/8074 | 8/min | ETA 949.9h
900/8074 | 8/min | ETA 935.4h
950/8074 | 8/min | ETA 932.1h
1000/8074 | 8/min | ETA 913.1h
1050/8074 | 8/min | ETA 892.8h
1100/8074 | 8/min | ETA 896.6h
1150/8074 | 8/min | ETA 892.2h
1200/8074 | 8/min | ETA 871.2h
1250/8074 | 8/min | ETA 865.9h
1300/8074 | 8/min | ETA 851.8h
1350/8074 | 8/min | ETA 840.9h
1400/8074 | 8/min | ETA 833.4h
1450/8074 | 8/min | ETA 818.8h
1500/8074 | 8/min | ETA 807.8h
1550/8074 | 8/min | ETA 794.5h
1600/8074 | 8/min | ETA 779.3h
1650/8074 | 8/min | ETA 766.4h
1700/8074 | 8/min | ETA 759.3h
1750/8074 | 8/min | ETA 750.7h
1800/8074 | 8/min | ETA 758.2h
1850/8074 | 8/min | ETA 746.2h
1900/8074 | 8/min | ETA 737.9h
1950/8074 | 8/min | ETA 729.3h
2000/8074 | 8/min | ETA 719.3h
2050/8074 | 8/min | ETA 710.2h
2100/8074 | 8/min | ETA 708.2h
2150/8074 | 8/min | ETA 702.0h
2200/8074 | 8/min | ETA 692.0h
2250/8074 | 8/min | ETA 686.0h
2300/8074 | 9/min | ETA 673.7h
2350/8074 | 9/min | ETA 662.6h
2400/8074 | 9/min | ETA 653.6h
2450/8074 | 9/min | ETA 643.1h
2500/8074 | 9/min | ETA 636.8h
2550/8074 | 9/min | ETA 633.7h
2600/8074 | 9/min | ETA 624.0h
2650/8074 | 9/min | ETA 615.3h
2700/8074 | 9/min | ETA 607.5h
2750/8074 | 9/min | ETA 598.8h
2800/8074 | 9/min | ETA 589.6h
2850/8074 | 9/min | ETA 581.5h
2900/8074 | 9/min | ETA 573.7h
2950/8074 | 9/min | ETA 569.0h
3000/8074 | 9/min | ETA 564.0h
3050/8074 | 9/min | ETA 556.1h
3100/8074 | 9/min | ETA 549.9h
3150/8074 | 9/min | ETA 545.4h
3200/8074 | 9/min | ETA 540.5h
3250/8074 | 9/min | ETA 533.9h
3300/8074 | 9/min | ETA 528.6h
3350/8074 | 9/min | ETA 523.2h
3400/8074 | 9/min | ETA 515.8h
3450/8074 | 9/min | ETA 510.1h
3500/8074 | 9/min | ETA 502.9h
3550/8074 | 9/min | ETA 495.8h
3600/8074 | 9/min | ETA 490.2h
3650/8074 | 9/min | ETA 483.6h
3700/8074 | 9/min | ETA 476.9h
3750/8074 | 9/min | ETA 470.6h
3800/8074 | 9/min | ETA 463.5h
3850/8074 | 9/min | ETA 456.4h
3900/8074 | 9/min | ETA 452.5h
3950/8074 | 9/min | ETA 446.1h
4000/8074 | 9/min | ETA 439.7h
4050/8074 | 9/min | ETA 433.8h
4100/8074 | 9/min | ETA 428.7h
4150/8074 | 9/min | ETA 422.5h
4200/8074 | 9/min | ETA 415.5h
4250/8074 | 9/min | ETA 408.8h
4300/8074 | 9/min | ETA 405.2h
4350/8074 | 9/min | ETA 401.4h
4400/8074 | 9/min | ETA 398.3h
4450/8074 | 9/min | ETA 393.8h
4500/8074 | 9/min | ETA 387.2h
4550/8074 | 9/min | ETA 385.5h
4600/8074 | 9/min | ETA 379.4h
4650/8074 | 9/min | ETA 373.5h
4700/8074 | 9/min | ETA 367.5h
4750/8074 | 9/min | ETA 362.0h
4800/8074 | 9/min | ETA 356.4h
4850/8074 | 9/min | ETA 350.4h
4900/8074 | 9/min | ETA 344.0h
4950/8074 | 9/min | ETA 337.3h
5000/8074 | 9/min | ETA 330.8h
5050/8074 | 9/min | ETA 325.0h
5100/8074 | 9/min | ETA 319.3h
5150/8074 | 9/min | ETA 313.4h
5200/8074 | 9/min | ETA 307.2h
5250/8074 | 9/min | ETA 301.6h
5300/8074 | 9/min | ETA 296.2h
5350/8074 | 9/min | ETA 290.7h
5400/8074 | 9/min | ETA 284.5h
5450/8074 | 9/min | ETA 281.8h
5500/8074 | 9/min | ETA 277.2h
5550/8074 | 9/min | ETA 273.4h
5600/8074 | 9/min | ETA 267.4h
5650/8074 | 9/min | ETA 261.9h
5700/8074 | 9/min | ETA 256.2h
5750/8074 | 9/min | ETA 251.9h
5800/8074 | 9/min | ETA 245.9h
5850/8074 | 9/min | ETA 240.2h
5900/8074 | 9/min | ETA 234.6h
5950/8074 | 9/min | ETA 230.6h
6000/8074 | 9/min | ETA 224.9h
6050/8074 | 9/min | ETA 219.3h
6100/8074 | 9/min | ETA 213.9h
6150/8074 | 9/min | ETA 208.9h
6200/8074 | 9/min | ETA 203.7h
6250/8074 | 9/min | ETA 198.0h
6300/8074 | 9/min | ETA 192.6h
6350/8074 | 9/min | ETA 186.9h
6400/8074 | 9/min | ETA 181.0h
6450/8074 | 9/min | ETA 175.3h
6500/8074 | 9/min | ETA 169.7h
6550/8074 | 9/min | ETA 164.3h
6600/8074 | 9/min | ETA 158.7h
6650/8074 | 9/min | ETA 153.0h
6700/8074 | 9/min | ETA 147.8h
6750/8074 | 9/min | ETA 142.7h
6800/8074 | 9/min | ETA 137.7h
6850/8074 | 9/min | ETA 132.3h
6900/8074 | 9/min | ETA 126.8h
6950/8074 | 9/min | ETA 121.5h
7000/8074 | 9/min | ETA 116.0h
7050/8074 | 9/min | ETA 110.5h
7100/8074 | 9/min | ETA 104.9h
7150/8074 | 9/min | ETA 99.9h
7200/8074 | 9/min | ETA 94.6h
7250/8074 | 9/min | ETA 89.1h
7300/8074 | 9/min | ETA 83.7h
7350/8074 | 9/min | ETA 78.9h
7400/8074 | 9/min | ETA 73.6h
7450/8074 | 9/min | ETA 68.4h
7500/8074 | 9/min | ETA 63.0h
7550/8074 | 9/min | ETA 57.6h
7600/8074 | 9/min | ETA 52.2h
7650/8074 | 9/min | ETA 47.0h
7700/8074 | 9/min | ETA 41.5h
7750/8074 | 9/min | ETA 36.2h
7800/8074 | 9/min | ETA 30.6h
7850/8074 | 9/min | ETA 25.1h
7900/8074 | 9/min | ETA 19.5h
7950/8074 | 9/min | ETA 13.8h
8000/8074 | 9/min | ETA 8.3h
8050/8074 | 9/min | ETA 2.7h
DONE: 8274 translations
